bom_item,part_type,required_voltage_v,min_temp_c,max_temp_c,deployment_environment
BOM-A-G073-B50C,sensor_interface_g073-b50c,24,-20,70,outdoor_enclosure_g073-b50c
BOM-B-G073-B50C,sensor_interface_g073-b50c,24,0,50,indoor_panel_g073-b50c
BOM-C-G073-B50C,power_relay_g073-b50c,24,-10,65,high_vibration_cabinet_g073-b50c
BOM-D-G073-B50C,connector_g073-b50c,5,-10,40,indoor_panel_g073-b50c
BOM-A-G074-A4E4,sensor_interface_g074-a4e4,24,-20,70,outdoor_enclosure_g074-a4e4
BOM-B-G074-A4E4,sensor_interface_g074-a4e4,24,0,50,indoor_panel_g074-a4e4
BOM-C-G074-A4E4,power_relay_g074-a4e4,24,-10,65,high_vibration_cabinet_g074-a4e4
BOM-D-G074-A4E4,connector_g074-a4e4,5,-10,40,indoor_panel_g074-a4e4
BOM-A-G075-86F8,sensor_interface_g075-86f8,24,-20,70,outdoor_enclosure_g075-86f8
BOM-B-G075-86F8,sensor_interface_g075-86f8,24,0,50,indoor_panel_g075-86f8
BOM-C-G075-86F8,power_relay_g075-86f8,24,-10,65,high_vibration_cabinet_g075-86f8
BOM-D-G075-86F8,connector_g075-86f8,5,-10,40,indoor_panel_g075-86f8
BOM-A-G076-B4BE,sensor_interface_g076-b4be,24,-20,70,outdoor_enclosure_g076-b4be
BOM-B-G076-B4BE,sensor_interface_g076-b4be,24,0,50,indoor_panel_g076-b4be
BOM-C-G076-B4BE,power_relay_g076-b4be,24,-10,65,high_vibration_cabinet_g076-b4be
BOM-D-G076-B4BE,connector_g076-b4be,5,-10,40,indoor_panel_g076-b4be
BOM-A-G077-4189,sensor_interface_g077-4189,24,-20,70,outdoor_enclosure_g077-4189
BOM-B-G077-4189,sensor_interface_g077-4189,24,0,50,indoor_panel_g077-4189
BOM-C-G077-4189,power_relay_g077-4189,24,-10,65,high_vibration_cabinet_g077-4189
BOM-D-G077-4189,connector_g077-4189,5,-10,40,indoor_panel_g077-4189
BOM-A-G078-16D6,sensor_interface_g078-16d6,24,-20,70,outdoor_enclosure_g078-16d6
BOM-B-G078-16D6,sensor_interface_g078-16d6,24,0,50,indoor_panel_g078-16d6
BOM-C-G078-16D6,power_relay_g078-16d6,24,-10,65,high_vibration_cabinet_g078-16d6
BOM-D-G078-16D6,connector_g078-16d6,5,-10,40,indoor_panel_g078-16d6
BOM-A-G079-4C58,sensor_interface_g079-4c58,24,-20,70,outdoor_enclosure_g079-4c58
BOM-B-G079-4C58,sensor_interface_g079-4c58,24,0,50,indoor_panel_g079-4c58
BOM-C-G079-4C58,power_relay_g079-4c58,24,-10,65,high_vibration_cabinet_g079-4c58
BOM-D-G079-4C58,connector_g079-4c58,5,-10,40,indoor_panel_g079-4c58
BOM-A-G080-C61D,sensor_interface_g080-c61d,24,-20,70,outdoor_enclosure_g080-c61d
BOM-B-G080-C61D,sensor_interface_g080-c61d,24,0,50,indoor_panel_g080-c61d
BOM-C-G080-C61D,power_relay_g080-c61d,24,-10,65,high_vibration_cabinet_g080-c61d
BOM-D-G080-C61D,connector_g080-c61d,5,-10,40,indoor_panel_g080-c61d
BOM-A-G081-0DAF,sensor_interface_g081-0daf,24,-20,70,outdoor_enclosure_g081-0daf
BOM-B-G081-0DAF,sensor_interface_g081-0daf,24,0,50,indoor_panel_g081-0daf
BOM-C-G081-0DAF,power_relay_g081-0daf,24,-10,65,high_vibration_cabinet_g081-0daf
BOM-D-G081-0DAF,connector_g081-0daf,5,-10,40,indoor_panel_g081-0daf
BOM-A-G082-515E,sensor_interface_g082-515e,24,-20,70,outdoor_enclosure_g082-515e
BOM-B-G082-515E,sensor_interface_g082-515e,24,0,50,indoor_panel_g082-515e
BOM-C-G082-515E,power_relay_g082-515e,24,-10,65,high_vibration_cabinet_g082-515e
BOM-D-G082-515E,connector_g082-515e,5,-10,40,indoor_panel_g082-515e
BOM-A-G083-29F3,sensor_interface_g083-29f3,24,-20,70,outdoor_enclosure_g083-29f3
BOM-B-G083-29F3,sensor_interface_g083-29f3,24,0,50,indoor_panel_g083-29f3
BOM-C-G083-29F3,power_relay_g083-29f3,24,-10,65,high_vibration_cabinet_g083-29f3
BOM-D-G083-29F3,connector_g083-29f3,5,-10,40,indoor_panel_g083-29f3
BOM-A-G084-63DB,sensor_interface_g084-63db,24,-20,70,outdoor_enclosure_g084-63db
BOM-B-G084-63DB,sensor_interface_g084-63db,24,0,50,indoor_panel_g084-63db
BOM-C-G084-63DB,power_relay_g084-63db,24,-10,65,high_vibration_cabinet_g084-63db
BOM-D-G084-63DB,connector_g084-63db,5,-10,40,indoor_panel_g084-63db
BOM-A-G085-EE77,sensor_interface_g085-ee77,24,-20,70,outdoor_enclosure_g085-ee77
BOM-B-G085-EE77,sensor_interface_g085-ee77,24,0,50,indoor_panel_g085-ee77
BOM-C-G085-EE77,power_relay_g085-ee77,24,-10,65,high_vibration_cabinet_g085-ee77
BOM-D-G085-EE77,connector_g085-ee77,5,-10,40,indoor_panel_g085-ee77
BOM-A-G086-2DFE,sensor_interface_g086-2dfe,24,-20,70,outdoor_enclosure_g086-2dfe
BOM-B-G086-2DFE,sensor_interface_g086-2dfe,24,0,50,indoor_panel_g086-2dfe
BOM-C-G086-2DFE,power_relay_g086-2dfe,24,-10,65,high_vibration_cabinet_g086-2dfe
BOM-D-G086-2DFE,connector_g086-2dfe,5,-10,40,indoor_panel_g086-2dfe
BOM-A-G087-4074,sensor_interface_g087-4074,24,-20,70,outdoor_enclosure_g087-4074
BOM-B-G087-4074,sensor_interface_g087-4074,24,0,50,indoor_panel_g087-4074
BOM-C-G087-4074,power_relay_g087-4074,24,-10,65,high_vibration_cabinet_g087-4074
BOM-D-G087-4074,connector_g087-4074,5,-10,40,indoor_panel_g087-4074
BOM-A-G088-1776,sensor_interface_g088-1776,24,-20,70,outdoor_enclosure_g088-1776
BOM-B-G088-1776,sensor_interface_g088-1776,24,0,50,indoor_panel_g088-1776
BOM-C-G088-1776,power_relay_g088-1776,24,-10,65,high_vibration_cabinet_g088-1776
BOM-D-G088-1776,connector_g088-1776,5,-10,40,indoor_panel_g088-1776
BOM-A-G089-1440,sensor_interface_g089-1440,24,-20,70,outdoor_enclosure_g089-1440
BOM-B-G089-1440,sensor_interface_g089-1440,24,0,50,indoor_panel_g089-1440
BOM-C-G089-1440,power_relay_g089-1440,24,-10,65,high_vibration_cabinet_g089-1440
BOM-D-G089-1440,connector_g089-1440,5,-10,40,indoor_panel_g089-1440
BOM-A-G090-393A,sensor_interface_g090-393a,24,-20,70,outdoor_enclosure_g090-393a
BOM-B-G090-393A,sensor_interface_g090-393a,24,0,50,indoor_panel_g090-393a
BOM-C-G090-393A,power_relay_g090-393a,24,-10,65,high_vibration_cabinet_g090-393a
BOM-D-G090-393A,connector_g090-393a,5,-10,40,indoor_panel_g090-393a
BOM-A-G091-3255,sensor_interface_g091-3255,24,-20,70,outdoor_enclosure_g091-3255
BOM-B-G091-3255,sensor_interface_g091-3255,24,0,50,indoor_panel_g091-3255
BOM-C-G091-3255,power_relay_g091-3255,24,-10,65,high_vibration_cabinet_g091-3255
BOM-D-G091-3255,connector_g091-3255,5,-10,40,indoor_panel_g091-3255
BOM-A-G092-9041,sensor_interface_g092-9041,24,-20,70,outdoor_enclosure_g092-9041
BOM-B-G092-9041,sensor_interface_g092-9041,24,0,50,indoor_panel_g092-9041
BOM-C-G092-9041,power_relay_g092-9041,24,-10,65,high_vibration_cabinet_g092-9041
BOM-D-G092-9041,connector_g092-9041,5,-10,40,indoor_panel_g092-9041
BOM-A-G093-199C,sensor_interface_g093-199c,24,-20,70,outdoor_enclosure_g093-199c
BOM-B-G093-199C,sensor_interface_g093-199c,24,0,50,indoor_panel_g093-199c
BOM-C-G093-199C,power_relay_g093-199c,24,-10,65,high_vibration_cabinet_g093-199c
BOM-D-G093-199C,connector_g093-199c,5,-10,40,indoor_panel_g093-199c
BOM-A-G094-80AD,sensor_interface_g094-80ad,24,-20,70,outdoor_enclosure_g094-80ad
BOM-B-G094-80AD,sensor_interface_g094-80ad,24,0,50,indoor_panel_g094-80ad
BOM-C-G094-80AD,power_relay_g094-80ad,24,-10,65,high_vibration_cabinet_g094-80ad
BOM-D-G094-80AD,connector_g094-80ad,5,-10,40,indoor_panel_g094-80ad
BOM-A-G095-15E7,sensor_interface_g095-15e7,24,-20,70,outdoor_enclosure_g095-15e7
BOM-B-G095-15E7,sensor_interface_g095-15e7,24,0,50,indoor_panel_g095-15e7
BOM-C-G095-15E7,power_relay_g095-15e7,24,-10,65,high_vibration_cabinet_g095-15e7
BOM-D-G095-15E7,connector_g095-15e7,5,-10,40,indoor_panel_g095-15e7
BOM-A-G096-CBFE,sensor_interface_g096-cbfe,24,-20,70,outdoor_enclosure_g096-cbfe
BOM-B-G096-CBFE,sensor_interface_g096-cbfe,24,0,50,indoor_panel_g096-cbfe
BOM-C-G096-CBFE,power_relay_g096-cbfe,24,-10,65,high_vibration_cabinet_g096-cbfe
BOM-D-G096-CBFE,connector_g096-cbfe,5,-10,40,indoor_panel_g096-cbfe
BOM-A-G097-BDF6,sensor_interface_g097-bdf6,24,-20,70,outdoor_enclosure_g097-bdf6
BOM-B-G097-BDF6,sensor_interface_g097-bdf6,24,0,50,indoor_panel_g097-bdf6
BOM-C-G097-BDF6,power_relay_g097-bdf6,24,-10,65,high_vibration_cabinet_g097-bdf6
BOM-D-G097-BDF6,connector_g097-bdf6,5,-10,40,indoor_panel_g097-bdf6
BOM-A-G098-9414,sensor_interface_g098-9414,24,-20,70,outdoor_enclosure_g098-9414
BOM-B-G098-9414,sensor_interface_g098-9414,24,0,50,indoor_panel_g098-9414
BOM-C-G098-9414,power_relay_g098-9414,24,-10,65,high_vibration_cabinet_g098-9414
BOM-D-G098-9414,connector_g098-9414,5,-10,40,indoor_panel_g098-9414
BOM-A-G099-9074,sensor_interface_g099-9074,24,-20,70,outdoor_enclosure_g099-9074
BOM-B-G099-9074,sensor_interface_g099-9074,24,0,50,indoor_panel_g099-9074
BOM-C-G099-9074,power_relay_g099-9074,24,-10,65,high_vibration_cabinet_g099-9074
BOM-D-G099-9074,connector_g099-9074,5,-10,40,indoor_panel_g099-9074
