part_number,part_type,description,rated_voltage_v,min_temp_c,max_temp_c,lifecycle
X150-G024-D80E,sensor_interface_g024-d80e,High-voltage sensor interface G024-D80E,48,-20,80,active
X160-G024-D80E,sensor_interface_g024-d80e,Legacy sealed sensor interface G024-D80E,24,-20,75,discontinued
X170-G024-D80E,sensor_interface_g024-d80e,Logic-level sensor interface G024-D80E,5,-10,50,active
X180-G024-D80E,sensor_interface_g024-d80e,Standard sensor interface G024-D80E,24,-20,80,active
R200-G024-D80E,power_relay_g024-d80e,Standard power relay G024-D80E,24,-20,70,active
R210-G024-D80E,power_relay_g024-d80e,Vibration-rated power relay G024-D80E,24,-40,85,active
C300-G024-D80E,connector_g024-d80e,Five-volt keyed connector G024-D80E,5,-20,70,active
X100-G025-7D4A,sensor_interface_g025-7d4a,Field sensor interface G025-7D4A,24,-20,80,active
X110-G025-7D4A,sensor_interface_g025-7d4a,Coated sensor interface G025-7D4A,24,-30,85,active
X120-G025-7D4A,sensor_interface_g025-7d4a,Low-voltage sensor interface G025-7D4A,12,-20,70,active
X130-G025-7D4A,sensor_interface_g025-7d4a,Indoor sensor interface G025-7D4A,24,0,60,active
X140-G025-7D4A,sensor_interface_g025-7d4a,Extended-temperature interface G025-7D4A,24,-40,105,active
X150-G025-7D4A,sensor_interface_g025-7d4a,High-voltage sensor interface G025-7D4A,48,-20,80,active
X160-G025-7D4A,sensor_interface_g025-7d4a,Legacy sealed sensor interface G025-7D4A,24,-20,75,discontinued
X170-G025-7D4A,sensor_interface_g025-7d4a,Logic-level sensor interface G025-7D4A,5,-10,50,active
X180-G025-7D4A,sensor_interface_g025-7d4a,Standard sensor interface G025-7D4A,24,-20,80,active
R200-G025-7D4A,power_relay_g025-7d4a,Standard power relay G025-7D4A,24,-20,70,active
R210-G025-7D4A,power_relay_g025-7d4a,Vibration-rated power relay G025-7D4A,24,-40,85,active
C300-G025-7D4A,connector_g025-7d4a,Five-volt keyed connector G025-7D4A,5,-20,70,active
X100-G026-7952,sensor_interface_g026-7952,Field sensor interface G026-7952,24,-20,80,active
X110-G026-7952,sensor_interface_g026-7952,Coated sensor interface G026-7952,24,-30,85,active
X120-G026-7952,sensor_interface_g026-7952,Low-voltage sensor interface G026-7952,12,-20,70,active
X130-G026-7952,sensor_interface_g026-7952,Indoor sensor interface G026-7952,24,0,60,active
X140-G026-7952,sensor_interface_g026-7952,Extended-temperature interface G026-7952,24,-40,105,active
X150-G026-7952,sensor_interface_g026-7952,High-voltage sensor interface G026-7952,48,-20,80,active
X160-G026-7952,sensor_interface_g026-7952,Legacy sealed sensor interface G026-7952,24,-20,75,discontinued
X170-G026-7952,sensor_interface_g026-7952,Logic-level sensor interface G026-7952,5,-10,50,active
X180-G026-7952,sensor_interface_g026-7952,Standard sensor interface G026-7952,24,-20,80,active
R200-G026-7952,power_relay_g026-7952,Standard power relay G026-7952,24,-20,70,active
R210-G026-7952,power_relay_g026-7952,Vibration-rated power relay G026-7952,24,-40,85,active
C300-G026-7952,connector_g026-7952,Five-volt keyed connector G026-7952,5,-20,70,active
X100-G027-0F3B,sensor_interface_g027-0f3b,Field sensor interface G027-0F3B,24,-20,80,active
X110-G027-0F3B,sensor_interface_g027-0f3b,Coated sensor interface G027-0F3B,24,-30,85,active
X120-G027-0F3B,sensor_interface_g027-0f3b,Low-voltage sensor interface G027-0F3B,12,-20,70,active
X130-G027-0F3B,sensor_interface_g027-0f3b,Indoor sensor interface G027-0F3B,24,0,60,active
X140-G027-0F3B,sensor_interface_g027-0f3b,Extended-temperature interface G027-0F3B,24,-40,105,active
X150-G027-0F3B,sensor_interface_g027-0f3b,High-voltage sensor interface G027-0F3B,48,-20,80,active
X160-G027-0F3B,sensor_interface_g027-0f3b,Legacy sealed sensor interface G027-0F3B,24,-20,75,discontinued
X170-G027-0F3B,sensor_interface_g027-0f3b,Logic-level sensor interface G027-0F3B,5,-10,50,active
X180-G027-0F3B,sensor_interface_g027-0f3b,Standard sensor interface G027-0F3B,24,-20,80,active
R200-G027-0F3B,power_relay_g027-0f3b,Standard power relay G027-0F3B,24,-20,70,active
R210-G027-0F3B,power_relay_g027-0f3b,Vibration-rated power relay G027-0F3B,24,-40,85,active
C300-G027-0F3B,connector_g027-0f3b,Five-volt keyed connector G027-0F3B,5,-20,70,active
X100-G028-2D6A,sensor_interface_g028-2d6a,Field sensor interface G028-2D6A,24,-20,80,active
X110-G028-2D6A,sensor_interface_g028-2d6a,Coated sensor interface G028-2D6A,24,-30,85,active
X120-G028-2D6A,sensor_interface_g028-2d6a,Low-voltage sensor interface G028-2D6A,12,-20,70,active
X130-G028-2D6A,sensor_interface_g028-2d6a,Indoor sensor interface G028-2D6A,24,0,60,active
X140-G028-2D6A,sensor_interface_g028-2d6a,Extended-temperature interface G028-2D6A,24,-40,105,active
X150-G028-2D6A,sensor_interface_g028-2d6a,High-voltage sensor interface G028-2D6A,48,-20,80,active
X160-G028-2D6A,sensor_interface_g028-2d6a,Legacy sealed sensor interface G028-2D6A,24,-20,75,discontinued
X170-G028-2D6A,sensor_interface_g028-2d6a,Logic-level sensor interface G028-2D6A,5,-10,50,active
X180-G028-2D6A,sensor_interface_g028-2d6a,Standard sensor interface G028-2D6A,24,-20,80,active
R200-G028-2D6A,power_relay_g028-2d6a,Standard power relay G028-2D6A,24,-20,70,active
R210-G028-2D6A,power_relay_g028-2d6a,Vibration-rated power relay G028-2D6A,24,-40,85,active
C300-G028-2D6A,connector_g028-2d6a,Five-volt keyed connector G028-2D6A,5,-20,70,active
X100-G029-5BD6,sensor_interface_g029-5bd6,Field sensor interface G029-5BD6,24,-20,80,active
X110-G029-5BD6,sensor_interface_g029-5bd6,Coated sensor interface G029-5BD6,24,-30,85,active
X120-G029-5BD6,sensor_interface_g029-5bd6,Low-voltage sensor interface G029-5BD6,12,-20,70,active
X130-G029-5BD6,sensor_interface_g029-5bd6,Indoor sensor interface G029-5BD6,24,0,60,active
X140-G029-5BD6,sensor_interface_g029-5bd6,Extended-temperature interface G029-5BD6,24,-40,105,active
X150-G029-5BD6,sensor_interface_g029-5bd6,High-voltage sensor interface G029-5BD6,48,-20,80,active
X160-G029-5BD6,sensor_interface_g029-5bd6,Legacy sealed sensor interface G029-5BD6,24,-20,75,discontinued
X170-G029-5BD6,sensor_interface_g029-5bd6,Logic-level sensor interface G029-5BD6,5,-10,50,active
X180-G029-5BD6,sensor_interface_g029-5bd6,Standard sensor interface G029-5BD6,24,-20,80,active
R200-G029-5BD6,power_relay_g029-5bd6,Standard power relay G029-5BD6,24,-20,70,active
R210-G029-5BD6,power_relay_g029-5bd6,Vibration-rated power relay G029-5BD6,24,-40,85,active
C300-G029-5BD6,connector_g029-5bd6,Five-volt keyed connector G029-5BD6,5,-20,70,active
X100-G030-68E1,sensor_interface_g030-68e1,Field sensor interface G030-68E1,24,-20,80,active
X110-G030-68E1,sensor_interface_g030-68e1,Coated sensor interface G030-68E1,24,-30,85,active
X120-G030-68E1,sensor_interface_g030-68e1,Low-voltage sensor interface G030-68E1,12,-20,70,active
X130-G030-68E1,sensor_interface_g030-68e1,Indoor sensor interface G030-68E1,24,0,60,active
X140-G030-68E1,sensor_interface_g030-68e1,Extended-temperature interface G030-68E1,24,-40,105,active
X150-G030-68E1,sensor_interface_g030-68e1,High-voltage sensor interface G030-68E1,48,-20,80,active
X160-G030-68E1,sensor_interface_g030-68e1,Legacy sealed sensor interface G030-68E1,24,-20,75,discontinued
X170-G030-68E1,sensor_interface_g030-68e1,Logic-level sensor interface G030-68E1,5,-10,50,active
X180-G030-68E1,sensor_interface_g030-68e1,Standard sensor interface G030-68E1,24,-20,80,active
R200-G030-68E1,power_relay_g030-68e1,Standard power relay G030-68E1,24,-20,70,active
R210-G030-68E1,power_relay_g030-68e1,Vibration-rated power relay G030-68E1,24,-40,85,active
C300-G030-68E1,connector_g030-68e1,Five-volt keyed connector G030-68E1,5,-20,70,active
X100-G031-ABCB,sensor_interface_g031-abcb,Field sensor interface G031-ABCB,24,-20,80,active
X110-G031-ABCB,sensor_interface_g031-abcb,Coated sensor interface G031-ABCB,24,-30,85,active
X120-G031-ABCB,sensor_interface_g031-abcb,Low-voltage sensor interface G031-ABCB,12,-20,70,active
X130-G031-ABCB,sensor_interface_g031-abcb,Indoor sensor interface G031-ABCB,24,0,60,active
X140-G031-ABCB,sensor_interface_g031-abcb,Extended-temperature interface G031-ABCB,24,-40,105,active
X150-G031-ABCB,sensor_interface_g031-abcb,High-voltage sensor interface G031-ABCB,48,-20,80,active
X160-G031-ABCB,sensor_interface_g031-abcb,Legacy sealed sensor interface G031-ABCB,24,-20,75,discontinued
X170-G031-ABCB,sensor_interface_g031-abcb,Logic-level sensor interface G031-ABCB,5,-10,50,active
X180-G031-ABCB,sensor_interface_g031-abcb,Standard sensor interface G031-ABCB,24,-20,80,active
R200-G031-ABCB,power_relay_g031-abcb,Standard power relay G031-ABCB,24,-20,70,active
R210-G031-ABCB,power_relay_g031-abcb,Vibration-rated power relay G031-ABCB,24,-40,85,active
C300-G031-ABCB,connector_g031-abcb,Five-volt keyed connector G031-ABCB,5,-20,70,active
X100-G032-E645,sensor_interface_g032-e645,Field sensor interface G032-E645,24,-20,80,active
X110-G032-E645,sensor_interface_g032-e645,Coated sensor interface G032-E645,24,-30,85,active
X120-G032-E645,sensor_interface_g032-e645,Low-voltage sensor interface G032-E645,12,-20,70,active
X130-G032-E645,sensor_interface_g032-e645,Indoor sensor interface G032-E645,24,0,60,active
X140-G032-E645,sensor_interface_g032-e645,Extended-temperature interface G032-E645,24,-40,105,active
X150-G032-E645,sensor_interface_g032-e645,High-voltage sensor interface G032-E645,48,-20,80,active
X160-G032-E645,sensor_interface_g032-e645,Legacy sealed sensor interface G032-E645,24,-20,75,discontinued
X170-G032-E645,sensor_interface_g032-e645,Logic-level sensor interface G032-E645,5,-10,50,active
X180-G032-E645,sensor_interface_g032-e645,Standard sensor interface G032-E645,24,-20,80,active
R200-G032-E645,power_relay_g032-e645,Standard power relay G032-E645,24,-20,70,active
R210-G032-E645,power_relay_g032-e645,Vibration-rated power relay G032-E645,24,-40,85,active
C300-G032-E645,connector_g032-e645,Five-volt keyed connector G032-E645,5,-20,70,active
X100-G033-4DD9,sensor_interface_g033-4dd9,Field sensor interface G033-4DD9,24,-20,80,active
X110-G033-4DD9,sensor_interface_g033-4dd9,Coated sensor interface G033-4DD9,24,-30,85,active
X120-G033-4DD9,sensor_interface_g033-4dd9,Low-voltage sensor interface G033-4DD9,12,-20,70,active
X130-G033-4DD9,sensor_interface_g033-4dd9,Indoor sensor interface G033-4DD9,24,0,60,active
X140-G033-4DD9,sensor_interface_g033-4dd9,Extended-temperature interface G033-4DD9,24,-40,105,active
X150-G033-4DD9,sensor_interface_g033-4dd9,High-voltage sensor interface G033-4DD9,48,-20,80,active
X160-G033-4DD9,sensor_interface_g033-4dd9,Legacy sealed sensor interface G033-4DD9,24,-20,75,discontinued
X170-G033-4DD9,sensor_interface_g033-4dd9,Logic-level sensor interface G033-4DD9,5,-10,50,active
X180-G033-4DD9,sensor_interface_g033-4dd9,Standard sensor interface G033-4DD9,24,-20,80,active
R200-G033-4DD9,power_relay_g033-4dd9,Standard power relay G033-4DD9,24,-20,70,active
R210-G033-4DD9,power_relay_g033-4dd9,Vibration-rated power relay G033-4DD9,24,-40,85,active
C300-G033-4DD9,connector_g033-4dd9,Five-volt keyed connector G033-4DD9,5,-20,70,active
X100-G034-4459,sensor_interface_g034-4459,Field sensor interface G034-4459,24,-20,80,active
X110-G034-4459,sensor_interface_g034-4459,Coated sensor interface G034-4459,24,-30,85,active
X120-G034-4459,sensor_interface_g034-4459,Low-voltage sensor interface G034-4459,12,-20,70,active
X130-G034-4459,sensor_interface_g034-4459,Indoor sensor interface G034-4459,24,0,60,active
X140-G034-4459,sensor_interface_g034-4459,Extended-temperature interface G034-4459,24,-40,105,active
X150-G034-4459,sensor_interface_g034-4459,High-voltage sensor interface G034-4459,48,-20,80,active
X160-G034-4459,sensor_interface_g034-4459,Legacy sealed sensor interface G034-4459,24,-20,75,discontinued
X170-G034-4459,sensor_interface_g034-4459,Logic-level sensor interface G034-4459,5,-10,50,active
X180-G034-4459,sensor_interface_g034-4459,Standard sensor interface G034-4459,24,-20,80,active
R200-G034-4459,power_relay_g034-4459,Standard power relay G034-4459,24,-20,70,active
R210-G034-4459,power_relay_g034-4459,Vibration-rated power relay G034-4459,24,-40,85,active
C300-G034-4459,connector_g034-4459,Five-volt keyed connector G034-4459,5,-20,70,active
X100-G035-66B9,sensor_interface_g035-66b9,Field sensor interface G035-66B9,24,-20,80,active
X110-G035-66B9,sensor_interface_g035-66b9,Coated sensor interface G035-66B9,24,-30,85,active
X120-G035-66B9,sensor_interface_g035-66b9,Low-voltage sensor interface G035-66B9,12,-20,70,active
X130-G035-66B9,sensor_interface_g035-66b9,Indoor sensor interface G035-66B9,24,0,60,active
X140-G035-66B9,sensor_interface_g035-66b9,Extended-temperature interface G035-66B9,24,-40,105,active
X150-G035-66B9,sensor_interface_g035-66b9,High-voltage sensor interface G035-66B9,48,-20,80,active
X160-G035-66B9,sensor_interface_g035-66b9,Legacy sealed sensor interface G035-66B9,24,-20,75,discontinued
X170-G035-66B9,sensor_interface_g035-66b9,Logic-level sensor interface G035-66B9,5,-10,50,active
X180-G035-66B9,sensor_interface_g035-66b9,Standard sensor interface G035-66B9,24,-20,80,active
R200-G035-66B9,power_relay_g035-66b9,Standard power relay G035-66B9,24,-20,70,active
R210-G035-66B9,power_relay_g035-66b9,Vibration-rated power relay G035-66B9,24,-40,85,active
C300-G035-66B9,connector_g035-66b9,Five-volt keyed connector G035-66B9,5,-20,70,active
X100-G036-00AB,sensor_interface_g036-00ab,Field sensor interface G036-00AB,24,-20,80,active
X110-G036-00AB,sensor_interface_g036-00ab,Coated sensor interface G036-00AB,24,-30,85,active
X120-G036-00AB,sensor_interface_g036-00ab,Low-voltage sensor interface G036-00AB,12,-20,70,active
X130-G036-00AB,sensor_interface_g036-00ab,Indoor sensor interface G036-00AB,24,0,60,active
X140-G036-00AB,sensor_interface_g036-00ab,Extended-temperature interface G036-00AB,24,-40,105,active
X150-G036-00AB,sensor_interface_g036-00ab,High-voltage sensor interface G036-00AB,48,-20,80,active
X160-G036-00AB,sensor_interface_g036-00ab,Legacy sealed sensor interface G036-00AB,24,-20,75,discontinued
X170-G036-00AB,sensor_interface_g036-00ab,Logic-level sensor interface G036-00AB,5,-10,50,active
X180-G036-00AB,sensor_interface_g036-00ab,Standard sensor interface G036-00AB,24,-20,80,active
R200-G036-00AB,power_relay_g036-00ab,Standard power relay G036-00AB,24,-20,70,active
R210-G036-00AB,power_relay_g036-00ab,Vibration-rated power relay G036-00AB,24,-40,85,active
C300-G036-00AB,connector_g036-00ab,Five-volt keyed connector G036-00AB,5,-20,70,active
X100-G037-D16D,sensor_interface_g037-d16d,Field sensor interface G037-D16D,24,-20,80,active
X110-G037-D16D,sensor_interface_g037-d16d,Coated sensor interface G037-D16D,24,-30,85,active
X120-G037-D16D,sensor_interface_g037-d16d,Low-voltage sensor interface G037-D16D,12,-20,70,active
X130-G037-D16D,sensor_interface_g037-d16d,Indoor sensor interface G037-D16D,24,0,60,active
X140-G037-D16D,sensor_interface_g037-d16d,Extended-temperature interface G037-D16D,24,-40,105,active
X150-G037-D16D,sensor_interface_g037-d16d,High-voltage sensor interface G037-D16D,48,-20,80,active
X160-G037-D16D,sensor_interface_g037-d16d,Legacy sealed sensor interface G037-D16D,24,-20,75,discontinued
X170-G037-D16D,sensor_interface_g037-d16d,Logic-level sensor interface G037-D16D,5,-10,50,active
X180-G037-D16D,sensor_interface_g037-d16d,Standard sensor interface G037-D16D,24,-20,80,active
R200-G037-D16D,power_relay_g037-d16d,Standard power relay G037-D16D,24,-20,70,active
R210-G037-D16D,power_relay_g037-d16d,Vibration-rated power relay G037-D16D,24,-40,85,active
C300-G037-D16D,connector_g037-d16d,Five-volt keyed connector G037-D16D,5,-20,70,active
X100-G038-4178,sensor_interface_g038-4178,Field sensor interface G038-4178,24,-20,80,active
X110-G038-4178,sensor_interface_g038-4178,Coated sensor interface G038-4178,24,-30,85,active
X120-G038-4178,sensor_interface_g038-4178,Low-voltage sensor interface G038-4178,12,-20,70,active
X130-G038-4178,sensor_interface_g038-4178,Indoor sensor interface G038-4178,24,0,60,active
X140-G038-4178,sensor_interface_g038-4178,Extended-temperature interface G038-4178,24,-40,105,active
X150-G038-4178,sensor_interface_g038-4178,High-voltage sensor interface G038-4178,48,-20,80,active
X160-G038-4178,sensor_interface_g038-4178,Legacy sealed sensor interface G038-4178,24,-20,75,discontinued
X170-G038-4178,sensor_interface_g038-4178,Logic-level sensor interface G038-4178,5,-10,50,active
X180-G038-4178,sensor_interface_g038-4178,Standard sensor interface G038-4178,24,-20,80,active
R200-G038-4178,power_relay_g038-4178,Standard power relay G038-4178,24,-20,70,active
R210-G038-4178,power_relay_g038-4178,Vibration-rated power relay G038-4178,24,-40,85,active
C300-G038-4178,connector_g038-4178,Five-volt keyed connector G038-4178,5,-20,70,active
X100-G039-1544,sensor_interface_g039-1544,Field sensor interface G039-1544,24,-20,80,active
X110-G039-1544,sensor_interface_g039-1544,Coated sensor interface G039-1544,24,-30,85,active
X120-G039-1544,sensor_interface_g039-1544,Low-voltage sensor interface G039-1544,12,-20,70,active
X130-G039-1544,sensor_interface_g039-1544,Indoor sensor interface G039-1544,24,0,60,active
X140-G039-1544,sensor_interface_g039-1544,Extended-temperature interface G039-1544,24,-40,105,active
X150-G039-1544,sensor_interface_g039-1544,High-voltage sensor interface G039-1544,48,-20,80,active
X160-G039-1544,sensor_interface_g039-1544,Legacy sealed sensor interface G039-1544,24,-20,75,discontinued
X170-G039-1544,sensor_interface_g039-1544,Logic-level sensor interface G039-1544,5,-10,50,active
X180-G039-1544,sensor_interface_g039-1544,Standard sensor interface G039-1544,24,-20,80,active
R200-G039-1544,power_relay_g039-1544,Standard power relay G039-1544,24,-20,70,active
R210-G039-1544,power_relay_g039-1544,Vibration-rated power relay G039-1544,24,-40,85,active
C300-G039-1544,connector_g039-1544,Five-volt keyed connector G039-1544,5,-20,70,active
X100-G040-9B06,sensor_interface_g040-9b06,Field sensor interface G040-9B06,24,-20,80,active
X110-G040-9B06,sensor_interface_g040-9b06,Coated sensor interface G040-9B06,24,-30,85,active
X120-G040-9B06,sensor_interface_g040-9b06,Low-voltage sensor interface G040-9B06,12,-20,70,active
X130-G040-9B06,sensor_interface_g040-9b06,Indoor sensor interface G040-9B06,24,0,60,active
X140-G040-9B06,sensor_interface_g040-9b06,Extended-temperature interface G040-9B06,24,-40,105,active
X150-G040-9B06,sensor_interface_g040-9b06,High-voltage sensor interface G040-9B06,48,-20,80,active
X160-G040-9B06,sensor_interface_g040-9b06,Legacy sealed sensor interface G040-9B06,24,-20,75,discontinued
X170-G040-9B06,sensor_interface_g040-9b06,Logic-level sensor interface G040-9B06,5,-10,50,active
X180-G040-9B06,sensor_interface_g040-9b06,Standard sensor interface G040-9B06,24,-20,80,active
R200-G040-9B06,power_relay_g040-9b06,Standard power relay G040-9B06,24,-20,70,active
R210-G040-9B06,power_relay_g040-9b06,Vibration-rated power relay G040-9B06,24,-40,85,active
C300-G040-9B06,connector_g040-9b06,Five-volt keyed connector G040-9B06,5,-20,70,active
X100-G041-6F5B,sensor_interface_g041-6f5b,Field sensor interface G041-6F5B,24,-20,80,active
X110-G041-6F5B,sensor_interface_g041-6f5b,Coated sensor interface G041-6F5B,24,-30,85,active
X120-G041-6F5B,sensor_interface_g041-6f5b,Low-voltage sensor interface G041-6F5B,12,-20,70,active
X130-G041-6F5B,sensor_interface_g041-6f5b,Indoor sensor interface G041-6F5B,24,0,60,active
X140-G041-6F5B,sensor_interface_g041-6f5b,Extended-temperature interface G041-6F5B,24,-40,105,active
X150-G041-6F5B,sensor_interface_g041-6f5b,High-voltage sensor interface G041-6F5B,48,-20,80,active
X160-G041-6F5B,sensor_interface_g041-6f5b,Legacy sealed sensor interface G041-6F5B,24,-20,75,discontinued
X170-G041-6F5B,sensor_interface_g041-6f5b,Logic-level sensor interface G041-6F5B,5,-10,50,active
X180-G041-6F5B,sensor_interface_g041-6f5b,Standard sensor interface G041-6F5B,24,-20,80,active
R200-G041-6F5B,power_relay_g041-6f5b,Standard power relay G041-6F5B,24,-20,70,active
R210-G041-6F5B,power_relay_g041-6f5b,Vibration-rated power relay G041-6F5B,24,-40,85,active
C300-G041-6F5B,connector_g041-6f5b,Five-volt keyed connector G041-6F5B,5,-20,70,active
X100-G042-0ED0,sensor_interface_g042-0ed0,Field sensor interface G042-0ED0,24,-20,80,active
X110-G042-0ED0,sensor_interface_g042-0ed0,Coated sensor interface G042-0ED0,24,-30,85,active
X120-G042-0ED0,sensor_interface_g042-0ed0,Low-voltage sensor interface G042-0ED0,12,-20,70,active
X130-G042-0ED0,sensor_interface_g042-0ed0,Indoor sensor interface G042-0ED0,24,0,60,active
X140-G042-0ED0,sensor_interface_g042-0ed0,Extended-temperature interface G042-0ED0,24,-40,105,active
X150-G042-0ED0,sensor_interface_g042-0ed0,High-voltage sensor interface G042-0ED0,48,-20,80,active
X160-G042-0ED0,sensor_interface_g042-0ed0,Legacy sealed sensor interface G042-0ED0,24,-20,75,discontinued
X170-G042-0ED0,sensor_interface_g042-0ed0,Logic-level sensor interface G042-0ED0,5,-10,50,active
X180-G042-0ED0,sensor_interface_g042-0ed0,Standard sensor interface G042-0ED0,24,-20,80,active
R200-G042-0ED0,power_relay_g042-0ed0,Standard power relay G042-0ED0,24,-20,70,active
R210-G042-0ED0,power_relay_g042-0ed0,Vibration-rated power relay G042-0ED0,24,-40,85,active
C300-G042-0ED0,connector_g042-0ed0,Five-volt keyed connector G042-0ED0,5,-20,70,active
X100-G043-B37D,sensor_interface_g043-b37d,Field sensor interface G043-B37D,24,-20,80,active
X110-G043-B37D,sensor_interface_g043-b37d,Coated sensor interface G043-B37D,24,-30,85,active
X120-G043-B37D,sensor_interface_g043-b37d,Low-voltage sensor interface G043-B37D,12,-20,70,active
X130-G043-B37D,sensor_interface_g043-b37d,Indoor sensor interface G043-B37D,24,0,60,active
X140-G043-B37D,sensor_interface_g043-b37d,Extended-temperature interface G043-B37D,24,-40,105,active
X150-G043-B37D,sensor_interface_g043-b37d,High-voltage sensor interface G043-B37D,48,-20,80,active
X160-G043-B37D,sensor_interface_g043-b37d,Legacy sealed sensor interface G043-B37D,24,-20,75,discontinued
X170-G043-B37D,sensor_interface_g043-b37d,Logic-level sensor interface G043-B37D,5,-10,50,active
X180-G043-B37D,sensor_interface_g043-b37d,Standard sensor interface G043-B37D,24,-20,80,active
R200-G043-B37D,power_relay_g043-b37d,Standard power relay G043-B37D,24,-20,70,active
R210-G043-B37D,power_relay_g043-b37d,Vibration-rated power relay G043-B37D,24,-40,85,active
C300-G043-B37D,connector_g043-b37d,Five-volt keyed connector G043-B37D,5,-20,70,active
X100-G044-D85B,sensor_interface_g044-d85b,Field sensor interface G044-D85B,24,-20,80,active
X110-G044-D85B,sensor_interface_g044-d85b,Coated sensor interface G044-D85B,24,-30,85,active
X120-G044-D85B,sensor_interface_g044-d85b,Low-voltage sensor interface G044-D85B,12,-20,70,active
X130-G044-D85B,sensor_interface_g044-d85b,Indoor sensor interface G044-D85B,24,0,60,active
X140-G044-D85B,sensor_interface_g044-d85b,Extended-temperature interface G044-D85B,24,-40,105,active
X150-G044-D85B,sensor_interface_g044-d85b,High-voltage sensor interface G044-D85B,48,-20,80,active
X160-G044-D85B,sensor_interface_g044-d85b,Legacy sealed sensor interface G044-D85B,24,-20,75,discontinued
X170-G044-D85B,sensor_interface_g044-d85b,Logic-level sensor interface G044-D85B,5,-10,50,active
X180-G044-D85B,sensor_interface_g044-d85b,Standard sensor interface G044-D85B,24,-20,80,active
R200-G044-D85B,power_relay_g044-d85b,Standard power relay G044-D85B,24,-20,70,active
R210-G044-D85B,power_relay_g044-d85b,Vibration-rated power relay G044-D85B,24,-40,85,active
C300-G044-D85B,connector_g044-d85b,Five-volt keyed connector G044-D85B,5,-20,70,active
X100-G045-B000,sensor_interface_g045-b000,Field sensor interface G045-B000,24,-20,80,active
X110-G045-B000,sensor_interface_g045-b000,Coated sensor interface G045-B000,24,-30,85,active
X120-G045-B000,sensor_interface_g045-b000,Low-voltage sensor interface G045-B000,12,-20,70,active
X130-G045-B000,sensor_interface_g045-b000,Indoor sensor interface G045-B000,24,0,60,active
X140-G045-B000,sensor_interface_g045-b000,Extended-temperature interface G045-B000,24,-40,105,active
X150-G045-B000,sensor_interface_g045-b000,High-voltage sensor interface G045-B000,48,-20,80,active
X160-G045-B000,sensor_interface_g045-b000,Legacy sealed sensor interface G045-B000,24,-20,75,discontinued
X170-G045-B000,sensor_interface_g045-b000,Logic-level sensor interface G045-B000,5,-10,50,active
X180-G045-B000,sensor_interface_g045-b000,Standard sensor interface G045-B000,24,-20,80,active
R200-G045-B000,power_relay_g045-b000,Standard power relay G045-B000,24,-20,70,active
R210-G045-B000,power_relay_g045-b000,Vibration-rated power relay G045-B000,24,-40,85,active
C300-G045-B000,connector_g045-b000,Five-volt keyed connector G045-B000,5,-20,70,active
X100-G046-8384,sensor_interface_g046-8384,Field sensor interface G046-8384,24,-20,80,active
X110-G046-8384,sensor_interface_g046-8384,Coated sensor interface G046-8384,24,-30,85,active
X120-G046-8384,sensor_interface_g046-8384,Low-voltage sensor interface G046-8384,12,-20,70,active
X130-G046-8384,sensor_interface_g046-8384,Indoor sensor interface G046-8384,24,0,60,active
X140-G046-8384,sensor_interface_g046-8384,Extended-temperature interface G046-8384,24,-40,105,active
X150-G046-8384,sensor_interface_g046-8384,High-voltage sensor interface G046-8384,48,-20,80,active
X160-G046-8384,sensor_interface_g046-8384,Legacy sealed sensor interface G046-8384,24,-20,75,discontinued
X170-G046-8384,sensor_interface_g046-8384,Logic-level sensor interface G046-8384,5,-10,50,active
X180-G046-8384,sensor_interface_g046-8384,Standard sensor interface G046-8384,24,-20,80,active
R200-G046-8384,power_relay_g046-8384,Standard power relay G046-8384,24,-20,70,active
R210-G046-8384,power_relay_g046-8384,Vibration-rated power relay G046-8384,24,-40,85,active
C300-G046-8384,connector_g046-8384,Five-volt keyed connector G046-8384,5,-20,70,active
X100-G047-E3F2,sensor_interface_g047-e3f2,Field sensor interface G047-E3F2,24,-20,80,active
X110-G047-E3F2,sensor_interface_g047-e3f2,Coated sensor interface G047-E3F2,24,-30,85,active
X120-G047-E3F2,sensor_interface_g047-e3f2,Low-voltage sensor interface G047-E3F2,12,-20,70,active
X130-G047-E3F2,sensor_interface_g047-e3f2,Indoor sensor interface G047-E3F2,24,0,60,active
X140-G047-E3F2,sensor_interface_g047-e3f2,Extended-temperature interface G047-E3F2,24,-40,105,active
X150-G047-E3F2,sensor_interface_g047-e3f2,High-voltage sensor interface G047-E3F2,48,-20,80,active
X160-G047-E3F2,sensor_interface_g047-e3f2,Legacy sealed sensor interface G047-E3F2,24,-20,75,discontinued
X170-G047-E3F2,sensor_interface_g047-e3f2,Logic-level sensor interface G047-E3F2,5,-10,50,active
X180-G047-E3F2,sensor_interface_g047-e3f2,Standard sensor interface G047-E3F2,24,-20,80,active
R200-G047-E3F2,power_relay_g047-e3f2,Standard power relay G047-E3F2,24,-20,70,active
R210-G047-E3F2,power_relay_g047-e3f2,Vibration-rated power relay G047-E3F2,24,-40,85,active
C300-G047-E3F2,connector_g047-e3f2,Five-volt keyed connector G047-E3F2,5,-20,70,active
X100-G048-6FBA,sensor_interface_g048-6fba,Field sensor interface G048-6FBA,24,-20,80,active
X110-G048-6FBA,sensor_interface_g048-6fba,Coated sensor interface G048-6FBA,24,-30,85,active
